cenario,rsu,teste,metrica,Media,DP,IC95_low,IC95_high,Mediana,n_runs
1,com,1,tempoMedioViagem_real,272.541,2.12762,270.134,274.949,273.472,3
1,com,1,tempoViagem_P50_real,259,3,255.605,262.395,259,3
1,com,1,tempoViagem_P90_real,454,24.6051,426.157,481.843,452.1,3
1,com,1,tempoViagem_P95_real,504.15,24.2983,476.654,531.646,513.85,3
1,com,1,co2Medio_real_g,556880,4273.54,552044,561716,558442,3
1,com,1,combustivelMedio_real_ml,180534,1385.45,178966,182101,181040,3
1,com,1,tempoMedioViagem,225.52,2.84083,222.305,228.735,224.5,3
1,com,1,tempoViagem_P50,218.333,1.1547,217.027,219.64,219,3
1,com,1,tempoViagem_P90,420,12.53,405.821,434.179,421,3
1,com,1,tempoViagem_P95,504,19.1572,482.322,525.678,513,3
1,com,1,co2Medio_g,149.263,0.675747,148.499,150.028,149.05,3
1,com,1,combustivelMedio_ml,74.63,0.338674,74.2468,75.0132,74.52,3
1,com,1,comprimentoMaxFila,43,1.73205,41.04,44.96,42,3
1,com,1,comprimentoMaxFila_m,215,8.66025,205.2,224.8,210,3
1,com,1,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,1,throughput_vps,6.06133,0.130216,5.91398,6.20869,6.134,3
1,com,1,throughput_total,1366.67,13.0512,1351.9,1381.44,1371,3
1,com,1,velMediaGargalo_kmh,28.12,0.481352,27.5753,28.6647,28,3
1,com,1,suppressionRatio,0.690467,0.0249953,0.662182,0.718751,0.6945,3
1,com,1,totalDenmsReceived,24364.7,390.48,23922.8,24806.5,24237,3
1,com,1,totalCamsReceived,42244.3,455.825,41728.5,42760.1,42505,3
1,com,1,totalV2xMessages,66609,680.379,65839.1,67378.9,66559,3
1,com,1,totalAlertsTriggered,831.333,10.2632,819.719,842.947,834,3
1,com,2,tempoMedioViagem_real,279.299,1.88955,277.161,281.438,278.853,3
1,com,2,tempoViagem_P50_real,264.667,2.3094,262.053,267.28,266,3
1,com,2,tempoViagem_P90_real,456.1,17.0713,436.782,475.418,451.5,3
1,com,2,tempoViagem_P95_real,522.95,5.49113,516.736,529.164,521,3
1,com,2,co2Medio_real_g,562953,3348.72,559164,566743,561739,3
1,com,2,combustivelMedio_real_ml,182503,1085.63,181274,183731,182109,3
1,com,2,tempoMedioViagem,230.01,0.989747,228.89,231.13,230.51,3
1,com,2,tempoViagem_P50,221.667,2.08167,219.311,224.022,221,3
1,com,2,tempoViagem_P90,431.333,9.45163,420.638,442.029,428,3
1,com,2,tempoViagem_P95,514.333,0.57735,513.68,514.987,514,3
1,com,2,co2Medio_g,148.657,0.603849,147.973,149.34,148.98,3
1,com,2,combustivelMedio_ml,74.33,0.30348,73.9866,74.6734,74.49,3
1,com,2,comprimentoMaxFila,45.3333,1.1547,44.0267,46.64,46,3
1,com,2,comprimentoMaxFila_m,226.667,5.7735,220.133,233.2,230,3
1,com,2,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,2,throughput_vps,5.968,0.0670224,5.89216,6.04384,5.97,3
1,com,2,throughput_total,1372.67,11.1505,1360.05,1385.28,1377,3
1,com,2,velMediaGargalo_kmh,26.9167,0.715146,26.1074,27.7259,26.9,3
1,com,2,suppressionRatio,0.693533,0.0107221,0.6814,0.705667,0.6921,3
1,com,2,totalDenmsReceived,25813.3,378.194,25385.4,26241.3,25848,3
1,com,2,totalCamsReceived,44586.3,1094.14,43348.2,45824.5,45068,3
1,com,2,totalV2xMessages,70399.7,1458.73,68749,72050.4,70916,3
1,com,2,totalAlertsTriggered,873.333,8.0829,864.187,882.48,872,3
1,com,3,tempoMedioViagem_real,284.29,2.63467,281.308,287.271,283.976,3
1,com,3,tempoViagem_P50_real,271,4.58258,265.814,276.186,272,3
1,com,3,tempoViagem_P90_real,468.067,15.8222,450.162,485.971,465.8,3
1,com,3,tempoViagem_P95_real,530.333,19.3916,508.39,552.277,531.8,3
1,com,3,co2Medio_real_g,567046,3449.61,563142,570949,568656,3
1,com,3,combustivelMedio_real_ml,183829,1118.34,182564,185095,184351,3
1,com,3,tempoMedioViagem,233.793,2.51907,230.943,236.644,234.04,3
1,com,3,tempoViagem_P50,223.667,4.04145,219.093,228.24,223,3
1,com,3,tempoViagem_P90,433,10.8167,420.76,445.24,436,3
1,com,3,tempoViagem_P95,520.333,13.6137,504.928,535.739,525,3
1,com,3,co2Medio_g,147.733,0.710375,146.929,148.537,147.76,3
1,com,3,combustivelMedio_ml,73.8667,0.360185,73.4591,74.2743,73.88,3
1,com,3,comprimentoMaxFila,44.6667,1.52753,42.9381,46.3952,45,3
1,com,3,comprimentoMaxFila_m,223.333,7.63763,214.691,231.976,225,3
1,com,3,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,3,throughput_vps,5.92767,0.0932166,5.82218,6.03315,5.881,3
1,com,3,throughput_total,1385.67,11.3725,1372.8,1398.54,1389,3
1,com,3,velMediaGargalo_kmh,27.0533,0.195533,26.8321,27.2746,27.07,3
1,com,3,suppressionRatio,0.715633,0.00775521,0.706857,0.724409,0.7167,3
1,com,3,totalDenmsReceived,25541.7,507.658,24967.2,26116.1,25589,3
1,com,3,totalCamsReceived,43840,579.282,43184.5,44495.5,43536,3
1,com,3,totalV2xMessages,69381.7,1029.21,68217,70546.3,69065,3
1,com,3,totalAlertsTriggered,858.333,28.1129,826.521,890.146,872,3
1,com,4,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,com,4,tempoViagem_P50_real,251,0,251,251,251,3
1,com,4,tempoViagem_P90_real,418,0,418,418,418,3
1,com,4,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,com,4,co2Medio_real_g,549949,0,549949,549949,549949,3
1,com,4,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,com,4,tempoMedioViagem,217.82,0,217.82,217.82,217.82,3
1,com,4,tempoViagem_P50,210,0,210,210,210,3
1,com,4,tempoViagem_P90,399,0,399,399,399,3
1,com,4,tempoViagem_P95,473,0,473,473,473,3
1,com,4,co2Medio_g,148.84,0,148.84,148.84,148.84,3
1,com,4,combustivelMedio_ml,74.42,0,74.42,74.42,74.42,3
1,com,4,comprimentoMaxFila,46,0,46,46,46,3
1,com,4,comprimentoMaxFila_m,230,0,230,230,230,3
1,com,4,duracaoFila_s,1500,0,1500,1500,1500,3
1,com,4,throughput_vps,6.34,0,6.34,6.34,6.34,3
1,com,4,throughput_total,1381,0,1381,1381,1381,3
1,com,4,velMediaGargalo_kmh,30.31,0,30.31,30.31,30.31,3
1,com,4,suppressionRatio,0.726733,0.000763763,0.725869,0.727598,0.7269,3
1,com,4,totalDenmsReceived,23453.7,26.7644,23423.4,23484,23461,3
1,com,4,totalCamsReceived,42502,0,42502,42502,42502,3
1,com,4,totalV2xMessages,65955.7,26.7644,65925.4,65986,65963,3
1,com,4,totalAlertsTriggered,746,0,746,746,746,3
1,sem,1,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,1,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,1,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,1,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,1,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,1,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,1,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,1,tempoViagem_P50,207,0,207,207,207,3
1,sem,1,tempoViagem_P90,417,0,417,417,417,3
1,sem,1,tempoViagem_P95,482,0,482,482,482,3
1,sem,1,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,1,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,1,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,1,throughput_total,1475,0,1475,1475,1475,3
1,sem,1,suppressionRatio,0,0,0,0,0,3
1,sem,1,totalDenmsReceived,0,0,0,0,0,3
1,sem,1,totalCamsReceived,0,0,0,0,0,3
1,sem,1,totalV2xMessages,0,0,0,0,0,3
1,sem,1,totalAlertsTriggered,0,0,0,0,0,3
1,sem,2,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,2,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,2,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,2,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,2,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,2,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,2,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,2,tempoViagem_P50,207,0,207,207,207,3
1,sem,2,tempoViagem_P90,417,0,417,417,417,3
1,sem,2,tempoViagem_P95,482,0,482,482,482,3
1,sem,2,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,2,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,2,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,2,throughput_total,1475,0,1475,1475,1475,3
1,sem,2,suppressionRatio,0,0,0,0,0,3
1,sem,2,totalDenmsReceived,0,0,0,0,0,3
1,sem,2,totalCamsReceived,0,0,0,0,0,3
1,sem,2,totalV2xMessages,0,0,0,0,0,3
1,sem,2,totalAlertsTriggered,0,0,0,0,0,3
1,sem,3,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,3,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,3,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,3,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,3,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,3,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,3,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,3,tempoViagem_P50,207,0,207,207,207,3
1,sem,3,tempoViagem_P90,417,0,417,417,417,3
1,sem,3,tempoViagem_P95,482,0,482,482,482,3
1,sem,3,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,3,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,3,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,3,throughput_total,1475,0,1475,1475,1475,3
1,sem,3,suppressionRatio,0,0,0,0,0,3
1,sem,3,totalDenmsReceived,0,0,0,0,0,3
1,sem,3,totalCamsReceived,0,0,0,0,0,3
1,sem,3,totalV2xMessages,0,0,0,0,0,3
1,sem,3,totalAlertsTriggered,0,0,0,0,0,3
1,sem,4,tempoMedioViagem_real,263.754,0,263.754,263.754,263.754,3
1,sem,4,tempoViagem_P50_real,251,0,251,251,251,3
1,sem,4,tempoViagem_P90_real,418,0,418,418,418,3
1,sem,4,tempoViagem_P95_real,463.5,0,463.5,463.5,463.5,3
1,sem,4,co2Medio_real_g,549949,0,549949,549949,549949,3
1,sem,4,combustivelMedio_real_ml,178286,0,178286,178286,178286,3
1,sem,4,tempoMedioViagem,216.18,0,216.18,216.18,216.18,3
1,sem,4,tempoViagem_P50,207,0,207,207,207,3
1,sem,4,tempoViagem_P90,417,0,417,417,417,3
1,sem,4,tempoViagem_P95,482,0,482,482,482,3
1,sem,4,co2Medio_g,144.8,0,144.8,144.8,144.8,3
1,sem,4,combustivelMedio_ml,72.4,0,72.4,72.4,72.4,3
1,sem,4,throughput_vps,6.823,0,6.823,6.823,6.823,3
1,sem,4,throughput_total,1475,0,1475,1475,1475,3
1,sem,4,suppressionRatio,0,0,0,0,0,3
1,sem,4,totalDenmsReceived,0,0,0,0,0,3
1,sem,4,totalCamsReceived,0,0,0,0,0,3
1,sem,4,totalV2xMessages,0,0,0,0,0,3
1,sem,4,totalAlertsTriggered,0,0,0,0,0,3
2,com,1,tempoMedioViagem_real,272.504,2.90389,269.217,275.79,272.75,3
